filename,cop,caption,url,location,year
Bratton-1996-BirminghamALzoom12,Bratton,"Bratton and John Timoney consulted for the Birmingham Police Department shortly after leaving New York. In his memoir, Timoney noted that while he was familiar with Bull Connor's legacy over the department, ""while we expected to see some problems within the department, the issue of race, we believed, was a thing of the past.""","https://api.mapbox.com/styles/v1/lifewinning/cjd52cola5t0g2rnvua7d2frg/static/-86.800929,33.530651,12/1280x1280?access_token=pk.eyJ1IjoibGlmZXdpbm5pbmciLCJhIjoiYWZyWnFjMCJ9.ksAPTz72HyEjF2AOMbRNvg","Birmingham, AL",1996
Bratton-1997-FortalezaBrazilzoom12,Bratton,"Consulting job with John TImoney. In his memoir, Timoney notes that their presence inadvertently sparked a series of protests by police officers demanding higher pay (something he writes he advocates for frequently, seeing as ""you get what you pay for"" when underpaying your officers).","https://api.mapbox.com/styles/v1/lifewinning/cjd52cola5t0g2rnvua7d2frg/static/-38.5217989,-3.7304512,12/1280x1280?access_token=pk.eyJ1IjoibGlmZXdpbm5pbmciLCJhIjoiYWZyWnFjMCJ9.ksAPTz72HyEjF2AOMbRNvg","Fortaleza, Brazil",1997
Bratton-1997-PhiladelphiaPAzoom12,Bratton,"Bratton was hired to make recommendations to improve the Philadelphia Police Department's crime-fighting strategies and brought Timoney along for the job. Due in part to Bratton's heavy hinting that Timoney might want the job, Timoney was hired as Police Commissioner that same year. ","https://api.mapbox.com/styles/v1/lifewinning/cjd52cola5t0g2rnvua7d2frg/static/-75.168428,39.990821,12/1280x1280?access_token=pk.eyJ1IjoibGlmZXdpbm5pbmciLCJhIjoiYWZyWnFjMCJ9.ksAPTz72HyEjF2AOMbRNvg","Philadelphia, PA",1997
Bratton-1997-Puerto Ricozoom12,Bratton,There's not a lot documented about this particular consulting job other than a Daily News Article in which Bratton mentions it and a job in New Bedford with Maple. ,"https://api.mapbox.com/styles/v1/lifewinning/cjd52cola5t0g2rnvua7d2frg/static/-66.481065,18.234668,12/1280x1280?access_token=pk.eyJ1IjoibGlmZXdpbm5pbmciLCJhIjoiYWZyWnFjMCJ9.ksAPTz72HyEjF2AOMbRNvg",Puerto Rico,1997
Bratton-1997-New BedfordMAzoom12,Bratton,"In 1997, Bratton was paid $128,000 to produce a 95-page report on the numerous problems within the New Bedford Police Department. Criticism of the report in local editorials noted that Bratton "" [skirted] around the issues of racism and sexism within the department"" and  might only lead to cosmetic improvements.","https://api.mapbox.com/styles/v1/lifewinning/cjd52cola5t0g2rnvua7d2frg/static/-70.945702,41.667736,12/1280x1280?access_token=pk.eyJ1IjoibGlmZXdpbm5pbmciLCJhIjoiYWZyWnFjMCJ9.ksAPTz72HyEjF2AOMbRNvg","New Bedford, MA",1997
Bratton-2001-LondonUKzoom12,Bratton,"Bratton was hired by Transport for London to consult on crime in the city's subway system. Upon announcement of the contract, Evening Standard reported a previous comment from Bratton about graffiti on the subway: ""Urban art, my ass. There's nothing artistic about this crap. The perpetrators are b******s. I hate them. If I had my way I would throw away the key."" ","https://api.mapbox.com/styles/v1/lifewinning/cjd52cola5t0g2rnvua7d2frg/static/-0.099076,51.509648,12/1280x1280?access_token=pk.eyJ1IjoibGlmZXdpbm5pbmciLCJhIjoiYWZyWnFjMCJ9.ksAPTz72HyEjF2AOMbRNvg","London, UK",2001
Bratton-2001-PatersonNJzoom12,Bratton,"Bratton was hired to review security in the Paterson school system following the violent murder of a homeless man by teenaged students. Bratton was paid $62,000. ","https://api.mapbox.com/styles/v1/lifewinning/cjd52cola5t0g2rnvua7d2frg/static/-74.157863,40.913211,12/1280x1280?access_token=pk.eyJ1IjoibGlmZXdpbm5pbmciLCJhIjoiYWZyWnFjMCJ9.ksAPTz72HyEjF2AOMbRNvg","Paterson, NJ",2001
Bratton-2001-CaracasVenezuelazoom12,Bratton,"Bratton signed a $180,000 contract to work with the Caracas government in 2001. A US-back coup attempt against then-president Hugo Chavez took place in April 2002, during which police officers opened fire on demonstrators, killing 19. It's unclear how much, if any, influence or presence Bratton had on these events. ","https://api.mapbox.com/styles/v1/lifewinning/cjd52cola5t0g2rnvua7d2frg/static/-66.87919,10.48801,12/1280x1280?access_token=pk.eyJ1IjoibGlmZXdpbm5pbmciLCJhIjoiYWZyWnFjMCJ9.ksAPTz72HyEjF2AOMbRNvg","Caracas, Venezuela",2001
Bratton-2002-Los AngelesCAzoom12,Bratton,"While working for consulting company Kroll Associates, Bratton was hired to monitor the implementation of a Department of Justice consent decree imposed following the Rampart scandal. ","https://api.mapbox.com/styles/v1/lifewinning/cjd52cola5t0g2rnvua7d2frg/static/-118.25703,34.05513,12/1280x1280?access_token=pk.eyJ1IjoibGlmZXdpbm5pbmciLCJhIjoiYWZyWnFjMCJ9.ksAPTz72HyEjF2AOMbRNvg","Los Angeles, CA",2002
Bratton-2002-Los AngelesCAzoom12,Bratton,"Bratton applied for and was hired as LAPD chief while consulting on the implementation of the DOJ consent decree. He held the position until 2009, during which he continued implementing a broken windows approach to policing. ","https://api.mapbox.com/styles/v1/lifewinning/cjd52cola5t0g2rnvua7d2frg/static/-118.25703,34.05513,12/1280x1280?access_token=pk.eyJ1IjoibGlmZXdpbm5pbmciLCJhIjoiYWZyWnFjMCJ9.ksAPTz72HyEjF2AOMbRNvg","Los Angeles, CA",2002
